分类: 📺央视频道, 名称: CCTV-2, 有效: 6, IPv4: 363, IPv6: 0, 最小延迟: 32 ms, 最高速率: 34.50 M/s, 平均速率: 15.57 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 391, IPv6: 0, 最小延迟: 296 ms, 最高速率: 6.46 M/s, 平均速率: 2.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 350, IPv6: 0, 最小延迟: 215 ms, 最高速率: 21.18 M/s, 平均速率: 5.17 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 398, IPv6: 0, 最小延迟: 29 ms, 最高速率: 34.15 M/s, 平均速率: 14.99 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 391, IPv6: 0, 最小延迟: 53 ms, 最高速率: 17.88 M/s, 平均速率: 9.21 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 6, IPv4: 223, IPv6: 0, 最小延迟: 50 ms, 最高速率: 18.58 M/s, 平均速率: 6.83 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 358, IPv6: 0, 最小延迟: 149 ms, 最高速率: 15.16 M/s, 平均速率: 4.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 331, IPv6: 0, 最小延迟: 130 ms, 最高速率: 8.88 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 353, IPv6: 0, 最小延迟: 249 ms, 最高速率: 20.85 M/s, 平均速率: 7.99 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 343, IPv6: 0, 最小延迟: 31 ms, 最高速率: 34.30 M/s, 平均速率: 15.71 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 267, IPv6: 0, 最小延迟: 139 ms, 最高速率: 17.11 M/s, 平均速率: 9.62 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 349, IPv6: 0, 最小延迟: 158 ms, 最高速率: 22.00 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 310, IPv6: 0, 最小延迟: 133 ms, 最高速率: 10.22 M/s, 平均速率: 5.58 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 273, IPv6: 0, 最小延迟: 168 ms, 最高速率: 15.46 M/s, 平均速率: 6.43 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 272, IPv6: 0, 最小延迟: 32 ms, 最高速率: 33.48 M/s, 平均速率: 18.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 6, IPv4: 294, IPv6: 0, 最小延迟: 186 ms, 最高速率: 13.81 M/s, 平均速率: 5.86 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 128, IPv6: 0, 最小延迟: 30 ms, 最高速率: 35.87 M/s, 平均速率: 19.47 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 6, IPv4: 195, IPv6: 0, 最小延迟: 170 ms, 最高速率: 13.18 M/s, 平均速率: 4.86 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 4, IPv4: 59, IPv6: 0, 最小延迟: 62 ms, 最高速率: 15.64 M/s, 平均速率: 7.94 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 31, IPv6: 0, 最小延迟: 50 ms, 最高速率: 19.09 M/s, 平均速率: 17.95 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CETV-4, 有效: 1, IPv4: 45, IPv6: 0, 最小延迟: 133 ms, 最高速率: 0.89 M/s, 平均速率: 0.89 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 文化精品, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 447 ms, 最高速率: 0.81 M/s, 平均速率: 0.78 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 央视台球, 有效: 3, IPv4: 19, IPv6: 0, 最小延迟: 195 ms, 最高速率: 20.00 M/s, 平均速率: 7.20 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 2, IPv4: 24, IPv6: 0, 最小延迟: 229 ms, 最高速率: 18.91 M/s, 平均速率: 9.74 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 4, IPv4: 34, IPv6: 0, 最小延迟: 230 ms, 最高速率: 17.49 M/s, 平均速率: 4.85 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 324 ms, 最高速率: 14.63 M/s, 平均速率: 7.61 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 277 ms, 最高速率: 17.60 M/s, 平均速率: 6.34 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 2, IPv4: 23, IPv6: 0, 最小延迟: 283 ms, 最高速率: 18.73 M/s, 平均速率: 9.82 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 3, IPv4: 18, IPv6: 0, 最小延迟: 450 ms, 最高速率: 6.31 M/s, 平均速率: 2.52 M/s, 最高分辨率: 1920x1080
